"file","Package","Version","url"
"fbcheck_2.0.4.tar.gz","fbcheck","2.0.4","https://cip-riu.github.io/cipriu_cran/packages/fbcheck_2.0.4.tar.gz"
"fbdesign_2.0.5.tar.gz","fbdesign","2.0.5","https://cip-riu.github.io/cipriu_cran/packages/fbdesign_2.0.5.tar.gz"
"fbupdate_0.0.9.tar.gz","fbupdate","0.0.9","https://cip-riu.github.io/cipriu_cran/packages/fbupdate_0.0.9.tar.gz"
"geneticdsg_0.0.2.tar.gz","geneticdsg","0.0.2","https://cip-riu.github.io/cipriu_cran/packages/geneticdsg_0.0.2.tar.gz"
"hidap_1.1.0.tar.gz","hidap","1.1.0","https://cip-riu.github.io/cipriu_cran/packages/hidap_1.1.0.tar.gz"
"traittools_1.1.3.tar.gz","traittools","1.1.3","https://cip-riu.github.io/cipriu_cran/packages/traittools_1.1.3.tar.gz"
